Band,Origin,Years Active,Page Title,Summary,
Dead Kennedys,San Francisco,,Dead Kennedys,"<p class=""mw-empty-elt"">
</p>
<p><b>Dead Kennedys</b> are an American punk rock band that formed in San Francisco, California, in 1978. The band was one of the defining punk bands during its initial eight-year run.</p><p>Dead Kennedys' lyrics were usually political in nature, satirizing political figures and authority in general, as well as popular culture and even the punk movement itself. During their initial incarnation between 1978 and 1986, they attracted considerable controversy for their provocative lyrics and artwork. Several stores refused to stock their recordings, provoking debate about censorship in rock music; in the mid-1980s, vocalist and primary lyricist Jello Biafra became an active campaigner against the Parents Music Resource Center. This culminated in an obscenity trial between 1985 and 1986, which resulted in a hung jury.
</p><p>The group released a total of four studio albums and one EP before disbanding in 1986. Following the band's dissolution, Biafra continued to collaborate and record with other artists including D.O.A., NoMeansNo and his own bands Lard and the Guantanamo School of Medicine, as well as releasing several spoken word performances.
</p><p>In 2000 (upheld on appeal in 2003), Biafra lost an acrimonious legal case initiated by his former Dead Kennedys bandmates over songwriting credits and unpaid royalties. In 2001, the band reformed without Biafra; various singers have since been recruited for vocal duties. Although Dead Kennedys have continued to perform live over the years, they have not released any new material since the release of their fourth studio album <i>Bedtime for Democracy</i> in 1986.
</p>",
,,,,,
Opeth,Stockholm,1990–present,Opeth,"<p class=""mw-empty-elt"">
</p>

<p><b>Opeth</b> is a Swedish progressive metal/rock band from Stockholm, formed in 1990 by lead vocalist David Isberg. The group has been through several personnel changes, including the replacement of every original member; notably Isberg in 1992. Mikael Åkerfeldt has been Opeth's frontman and primary songwriter since Isberg's departure. Opeth has consistently incorporated progressive, folk, blues, classical, and jazz influences into its usually lengthy compositions, as well as strong influences from death metal, especially in their early works. Many songs include acoustic guitar passages and strong dynamic shifts, as well as death growls. Opeth is also well known for their incorporation of Mellotrons in their work. The band rarely made live appearances supporting their first four albums, but since conducting their first world tour after the 2001 release of <i>Blackwater Park</i>, they have led several major world tours.
</p><p>Opeth has released 13 studio albums, four live DVDs, four live albums (three that are in conjunction with DVDs), and two boxsets. The band released its debut album <i>Orchid</i> in 1995. Although their eighth studio album, <i>Ghost Reveries</i>, was quite popular in the United States, Opeth did not experience major American commercial success until the 2008 release of their ninth studio album, <i>Watershed</i>, which peaked at No. 23 on the <i>Billboard</i> 200, and topped the Finnish albums chart in its first week of release. As of November 2009, the band has sold over 1.5 million copies of their albums and DVDs worldwide, including 300,000 collective SoundScans of their albums <i>Blackwater Park</i>, <i>Damnation</i>, and <i>Deliverance</i> in the United States.</p>",
,,,,,
Four Tops,Detroit,1953–present,Four Tops,"<p>The <b>Four Tops</b> are an American vocal quartet from Detroit who helped to define the city's Motown sound of the 1960s. The group's repertoire has included soul music, R&amp;B, disco, adult contemporary, doo-wop, jazz, and show tunes.
</p><p>Founded as the <b>Four Aims</b>, lead singer Levi Stubbs, Abdul ""Duke"" Fakir, Renaldo ""Obie"" Benson and Lawrence Payton remained together for over four decades, performing from 1953 until 1997 without a change in personnel. The Four Tops were among a number of groups, including the Miracles, the Marvelettes, Martha and the Vandellas, the Temptations, and the Supremes, who established the Motown Sound heard around the world during the 1960s. They were notable for having Stubbs, a baritone, as their lead singer, whereas most other male and mixed vocal groups of the time were fronted by tenors. 
</p><p>The group was the main male vocal group for the highly successful songwriting and production team of Holland–Dozier–Holland, who crafted a stream of hit singles for Motown. These included two <i>Billboard</i> Hot 100 number-one hits for the Tops: ""I Can't Help Myself (Sugar Pie Honey Bunch)"" in 1965 and ""Reach Out I'll Be There"" in 1966. The group continued to have chart singles into the 1970s, including the million-seller ""Ain't No Woman"" (1973). 
</p><p>The group was inducted into the Rock and Roll Hall of Fame in 1990 and into the Vocal Group Hall of Fame in 1999. In 2004, <i>Rolling Stone</i> ranked them #79 on its list of the 100 Greatest Artists of All Time.
</p><p>The Four Tops continue to perform with Fakir as the last surviving original member.
</p>",
,,,,,
The Stranglers,Guildford,1974–present,The Stranglers,"<p class=""mw-empty-elt"">

</p>
<p><b>The Stranglers</b> are an English rock band who emerged via the punk rock scene. Scoring 23 UK top 40 singles and 19 UK top 40 albums to date in a career spanning five decades, the Stranglers are one of the longest-surviving bands to have originated in the UK punk scene.
</p><p>Formed as the Guildford Stranglers in Guildford, Surrey, in early 1974, they originally built a following within the mid-1970s pub rock scene. While their aggressive, no-compromise attitude had them identified by the media with the emerging UK punk rock scene that followed, their idiosyncratic approach rarely followed any single musical genre, and the group went on to explore a variety of musical styles, from new wave, art rock and gothic rock through the sophisti-pop of some of their 1980s output. They had major mainstream success with their 1982 single ""Golden Brown"". Their other hits include ""No More Heroes"", ""Peaches"", ""Always the Sun"", ""Skin Deep"" and ""Big Thing Coming"".
</p><p>The Stranglers' early sound was driven by Jean-Jacques Burnel's melodic bass, but also gave prominence to Dave Greenfield's keyboards. 
Their early music was also characterised by the growling vocals and sometimes misanthropic lyrics of both Burnel and Hugh Cornwell. Over time, their output gradually grew more refined and sophisticated. Summing up their contribution to popular music, critic Dave Thompson later wrote: ""From bad-mannered yobs to purveyors of supreme pop delicacies, the group was responsible for music that may have been ugly and might have been crude – but it was never, ever boring.""</p><p>Keyboard player Dave Greenfield died on 3 May 2020 after contracting COVID-19 while receiving treatment for a heart ailment. The remaining band members completed a new album recorded with Greenfield, <i>Dark Matters</i> following his death and confirmed that they would proceed with their ""Final Full UK Tour"", initially announced in January 2020, in his honour.</p>",
,,,,,
Young the Giant,Irvine,2004–present,Young the Giant,"<p class=""mw-empty-elt"">

</p>
<p><b>Young the Giant</b> is an American rock band that formed in Irvine, California, in 2004. The band's line-up consists of Sameer Gadhia (lead vocals), Jacob Tilley (guitar), Eric Cannata (guitar), Payam Doostzadeh (bass guitar), and Francois Comtois (drums). Formerly known as <b>The Jakes</b>, Young the Giant was signed by Roadrunner Records in 2009, and they released their eponymous debut album in 2010. The band's first three singles, ""My Body"", ""Cough Syrup"", and ""Apartment"", all charted on the US Alternative Songs chart.
</p>",
,,,,,
Chase & Status,London,2003–present,Chase & Status,"<p class=""mw-empty-elt"">

</p>
<p><b>Chase &amp; Status</b> are an English electronic music duo composed of Saul Milton (Chase) and Will Kennard (Status). In addition, Andy Gangadeen is the drummer when the band performs live. MC Rage formerly performed as MC with the group, but left in July 2021 to focus on solo ventures. The duo are from London, and formed in 2003 after meeting at university in Manchester. The duo have since released five studio albums and collaborated with major artists such as Plan B, CeeLo Green, Rihanna, Example, and Tinie Tempah. They run the independent record label MTA Records.</p>",
,,,,,
Crowded House,Melbourne,1985–1996|2006–2011|2016|2019–present,Crowded House,"<p class=""mw-empty-elt"">

</p>
<p><b>Crowded House</b> are a rock band, formed in Melbourne, Victoria, Australia, in 1985. Its founding members were New Zealander Neil Finn (vocalist, guitarist, primary songwriter) and Australians Paul Hester (drums) and Nick Seymour (bass). Later band members include Neil Finn's brother, Tim Finn and sons Liam and Elroy, as well as Americans Mark Hart and Matt Sherrod, with Neil Finn and Nick Seymour being the sole constant members of the group since its formation.
</p><p>Originally active from 1985 to 1996, Crowded House had consistent commercial and critical success in Australia and New Zealand and international chart success in two phases, beginning with a self-titled debut album that reached number 12 on the US Album Chart in 1987 and provided the Top Ten hits ""Don't Dream It's Over"" and ""Something So Strong"". Further international success came in the UK, Europe and South Africa with their third and fourth albums (<i>Woodface</i> and <i>Together Alone</i>) and the compilation album <i>Recurring Dream</i>, which included the hits ""Fall at Your Feet"", ""Weather with You"", ""Distant Sun"", ""Locked Out"", ""Instinct"" and ""Not the Girl You Think You Are"". Neil and Tim Finn were each awarded an OBE in June 1993 for their contributions to the music of New Zealand.</p><p>In June 1996, Crowded House announced that it would disband. The band's last UK Gig was in the basement studio of BBC GLR 94.9, as part the Phil Jupitas Show on 21 June 96. The station had always been very supportive of Crowded House, this was the band's way of thanking the station and its listeners. The band played several farewell concerts that year, including the ""Farewell to the World"" concerts in Melbourne and Sydney. On 26 March 2005, Hester died by suicide, aged 46. In 2006, the group re-formed with drummer Matt Sherrod and released two further albums (in 2007 and 2010), each of which reached number one on Australia's album chart. After several years of inactivity, it was announced a revised line-up of Crowded House would tour the UK in 2020. The new line-up features Neil Finn, Nick Seymour, Mitchell Froom, and Finn's sons Liam and Elroy. Due to the COVID-19 pandemic, the band's planned 2020 concerts were postponed.
</p><p>As of 2021, Crowded House have sold over 15 million albums worldwide. In November 2016, the band was inducted into the ARIA Hall of Fame.</p>",
